subj_id,survey_name,seed_id,text,text_category,question_type,choice_filename,choice_category,is_correct
A002160837SWJFPIAI7L7,match_to_seed_1,41,sheah,tear,category,glass-34,glass,0
A002160837SWJFPIAI7L7,match_to_seed_1,47,veep,zipper,exact,zipper-47,zipper,1
A002160837SWJFPIAI7L7,match_to_seed_1,39,a chechyu,tear,exact,tear-39,tear,1
A002160837SWJFPIAI7L7,match_to_seed_1,49,iszit,zipper,category,tear-39,tear,0
A002160837SWJFPIAI7L7,match_to_seed_1,45,glongglong,water,category,water-42,water,1
A002160837SWJFPIAI7L7,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A002160837SWJFPIAI7L7,match_to_seed_1,35,gorecto,glass,category,zipper-47,zipper,0
A002160837SWJFPIAI7L7,match_to_seed_1,42,chewscutcutsew,water,exact,tear-39,tear,0
A11FBJMD5UHH39,match_to_seed_1,39,a-chitch-shu,tear,exact,glass-34,glass,0
A11FBJMD5UHH39,match_to_seed_1,41,sheyah,tear,category,zipper-47,zipper,0
A11FBJMD5UHH39,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
A11FBJMD5UHH39,match_to_seed_1,49,Izzzit,zipper,category,zipper-47,zipper,1
A11FBJMD5UHH39,match_to_seed_1,34,dundundah,glass,exact,glass-34,glass,1
A11FBJMD5UHH39,match_to_seed_1,45,glongglong,water,category,water-42,water,1
A11FBJMD5UHH39,match_to_seed_1,35,goracto,glass,category,glass-34,glass,1
A11FBJMD5UHH39,match_to_seed_1,47,veeb,zipper,exact,zipper-47,zipper,1
A1497L153RMH2L,match_to_seed_2,49,izit,zipper,exact,zipper-49,zipper,1
A1497L153RMH2L,match_to_seed_2,35,Goracto,glass,exact,glass-35,glass,1
A1497L153RMH2L,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A1497L153RMH2L,match_to_seed_2,34,dundunduh,glass,category,glass-35,glass,1
A1497L153RMH2L,match_to_seed_2,45,glonglong,water,exact,water-45,water,1
A1497L153RMH2L,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
A1497L153RMH2L,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A1497L153RMH2L,match_to_seed_2,39,a chechyu,tear,category,tear-41,tear,1
A1A3TGZ7DKJWRW,match_to_seed_1,42,chewchewshewa,water,exact,water-42,water,1
A1A3TGZ7DKJWRW,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A1A3TGZ7DKJWRW,match_to_seed_1,49,iszit,zipper,category,tear-39,tear,0
A1A3TGZ7DKJWRW,match_to_seed_1,45,glonglong,water,category,glass-34,glass,0
A1A3TGZ7DKJWRW,match_to_seed_1,47,veeb,zipper,exact,zipper-47,zipper,1
A1A3TGZ7DKJWRW,match_to_seed_1,41,cheea,tear,category,tear-39,tear,1
A1A3TGZ7DKJWRW,match_to_seed_1,39,a-chitch-shu,tear,exact,tear-39,tear,1
A1A3TGZ7DKJWRW,match_to_seed_1,35,gorecto,glass,category,water-42,water,0
A1GF29TP5AVQ49,match_to_seed_1,45,glongglong,water,category,tear-39,tear,0
A1GF29TP5AVQ49,match_to_seed_1,49,Izzzit,zipper,category,tear-39,tear,0
A1GF29TP5AVQ49,match_to_seed_1,41,cheea,tear,category,tear-39,tear,1
A1GF29TP5AVQ49,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
A1GF29TP5AVQ49,match_to_seed_1,47,veep,zipper,exact,zipper-47,zipper,1
A1GF29TP5AVQ49,match_to_seed_1,35,goracto,glass,category,water-42,water,0
A1GF29TP5AVQ49,match_to_seed_1,39,a-chitch-shu,tear,exact,zipper-47,zipper,0
A1GF29TP5AVQ49,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A1HH2KZIFLXRJL,match_to_seed_1,35,gorecto,glass,category,tear-39,tear,0
A1HH2KZIFLXRJL,match_to_seed_1,42,chewscutcutsew,water,exact,tear-39,tear,0
A1HH2KZIFLXRJL,match_to_seed_1,45,glonglong,water,category,glass-34,glass,0
A1HH2KZIFLXRJL,match_to_seed_1,34,dahduhda,glass,exact,glass-34,glass,1
A1HH2KZIFLXRJL,match_to_seed_1,41,sheah,tear,category,tear-39,tear,1
A1HH2KZIFLXRJL,match_to_seed_1,39,a-chitch-shu,tear,exact,tear-39,tear,1
A1HH2KZIFLXRJL,match_to_seed_1,47,veeb,zipper,exact,zipper-47,zipper,1
A1HH2KZIFLXRJL,match_to_seed_1,49,izzit,zipper,category,tear-39,tear,0
A1HKYY6XI2OHO1,match_to_seed_1,45,galonggalong,water,category,water-42,water,1
A1HKYY6XI2OHO1,match_to_seed_1,41,cheea,tear,category,tear-39,tear,1
A1HKYY6XI2OHO1,match_to_seed_1,34,dundunduh,glass,exact,glass-34,glass,1
A1HKYY6XI2OHO1,match_to_seed_1,35,Goracto,glass,category,glass-34,glass,1
A1HKYY6XI2OHO1,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
A1HKYY6XI2OHO1,match_to_seed_1,49,izzit,zipper,category,zipper-47,zipper,1
A1HKYY6XI2OHO1,match_to_seed_1,47,veeb,zipper,exact,tear-39,tear,0
A1HKYY6XI2OHO1,match_to_seed_1,39,a chechyu,tear,exact,glass-34,glass,0
A1JRTUDSDO6TQF,match_to_seed_2,47,veep,zipper,category,zipper-49,zipper,1
A1JRTUDSDO6TQF,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A1JRTUDSDO6TQF,match_to_seed_2,34,dundunduh,glass,category,water-45,water,0
A1JRTUDSDO6TQF,match_to_seed_2,41,sheyah,tear,exact,tear-41,tear,1
A1JRTUDSDO6TQF,match_to_seed_2,39,a-chitch-shu,tear,category,tear-41,tear,1
A1JRTUDSDO6TQF,match_to_seed_2,45,glongglong,water,exact,water-45,water,1
A1JRTUDSDO6TQF,match_to_seed_2,35,goracto,glass,exact,zipper-49,zipper,0
A1JRTUDSDO6TQF,match_to_seed_2,49,Izzzit,zipper,exact,zipper-49,zipper,1
A1KFK92GEFQ9F5,match_to_seed_2,45,galonggalong,water,exact,water-45,water,1
A1KFK92GEFQ9F5,match_to_seed_2,39,a-chitch-shu,tear,category,water-45,water,0
A1KFK92GEFQ9F5,match_to_seed_2,47,veeb,zipper,category,glass-35,glass,0
A1KFK92GEFQ9F5,match_to_seed_2,34,dundunda,glass,category,water-45,water,0
A1KFK92GEFQ9F5,match_to_seed_2,49,Izzzit,zipper,exact,zipper-49,zipper,1
A1KFK92GEFQ9F5,match_to_seed_2,42,chewchewshewa,water,category,tear-41,tear,0
A1KFK92GEFQ9F5,match_to_seed_2,41,cheea,tear,exact,glass-35,glass,0
A1KFK92GEFQ9F5,match_to_seed_2,35,gorecto,glass,exact,tear-41,tear,0
A1TARNH07A75CG,match_to_seed_2,35,goracto,glass,exact,tear-41,tear,0
A1TARNH07A75CG,match_to_seed_2,34,dundunda,glass,category,zipper-49,zipper,0
A1TARNH07A75CG,match_to_seed_2,39,a chechyu,tear,category,water-45,water,0
A1TARNH07A75CG,match_to_seed_2,49,Izzzit,zipper,exact,glass-35,glass,0
A1TARNH07A75CG,match_to_seed_2,45,glonglong,water,exact,zipper-49,zipper,0
A1TARNH07A75CG,match_to_seed_2,41,shiyah,tear,exact,zipper-49,zipper,0
A1TARNH07A75CG,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A1TARNH07A75CG,match_to_seed_2,47,veeb,zipper,category,tear-41,tear,0
A23B9UVYZ52CL0,match_to_seed_1,35,goracto,glass,category,tear-39,tear,0
A23B9UVYZ52CL0,match_to_seed_1,39,a chechyu,tear,exact,tear-39,tear,1
A23B9UVYZ52CL0,match_to_seed_1,49,Izzzit,zipper,category,zipper-47,zipper,1
A23B9UVYZ52CL0,match_to_seed_1,47,veeb,zipper,exact,glass-34,glass,0
A23B9UVYZ52CL0,match_to_seed_1,34,dundunduh,glass,exact,water-42,water,0
A23B9UVYZ52CL0,match_to_seed_1,42,chewchewshewa,water,exact,water-42,water,1
A23B9UVYZ52CL0,match_to_seed_1,41,shiyah,tear,category,tear-39,tear,1
A23B9UVYZ52CL0,match_to_seed_1,45,galonggalong,water,category,tear-39,tear,0
A27OZ504B5JU63,match_to_seed_2,34,dundundah,glass,category,water-45,water,0
A27OZ504B5JU63,match_to_seed_2,49,izzit,zipper,exact,tear-41,tear,0
A27OZ504B5JU63,match_to_seed_2,45,glongglong,water,exact,water-45,water,1
A27OZ504B5JU63,match_to_seed_2,35,goracto,glass,exact,glass-35,glass,1
A27OZ504B5JU63,match_to_seed_2,41,cheea,tear,exact,glass-35,glass,0
A27OZ504B5JU63,match_to_seed_2,39,a chechyu,tear,category,water-45,water,0
A27OZ504B5JU63,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
A27OZ504B5JU63,match_to_seed_2,42,chewscutcutsew,water,category,glass-35,glass,0
A29C62CNQKDT34,match_to_seed_1,41,sheah,tear,category,zipper-47,zipper,0
A29C62CNQKDT34,match_to_seed_1,35,gorecto,glass,category,zipper-47,zipper,0
A29C62CNQKDT34,match_to_seed_1,42,chewchewshewa,water,exact,tear-39,tear,0
A29C62CNQKDT34,match_to_seed_1,49,izzit,zipper,category,zipper-47,zipper,1
A29C62CNQKDT34,match_to_seed_1,34,dundunduh,glass,exact,glass-34,glass,1
A29C62CNQKDT34,match_to_seed_1,45,galonggalong,water,category,water-42,water,1
A29C62CNQKDT34,match_to_seed_1,39,a chechyu,tear,exact,glass-34,glass,0
A29C62CNQKDT34,match_to_seed_1,47,veep,zipper,exact,zipper-47,zipper,1
A2A27TLFWKDXUW,match_to_seed_2,34,dundundah,glass,category,water-45,water,0
A2A27TLFWKDXUW,match_to_seed_2,47,veep,zipper,category,zipper-49,zipper,1
A2A27TLFWKDXUW,match_to_seed_2,39,a chechyu,tear,category,glass-35,glass,0
A2A27TLFWKDXUW,match_to_seed_2,42,Chicochicochicochico,water,category,glass-35,glass,0
A2A27TLFWKDXUW,match_to_seed_2,45,glonglong,water,exact,water-45,water,1
A2A27TLFWKDXUW,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A2A27TLFWKDXUW,match_to_seed_2,35,gorecto,glass,exact,water-45,water,0
A2A27TLFWKDXUW,match_to_seed_2,49,iszit,zipper,exact,zipper-49,zipper,1
A2BEIT9EBFVBRE,match_to_seed_2,39,a chechyu,tear,category,zipper-49,zipper,0
A2BEIT9EBFVBRE,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A2BEIT9EBFVBRE,match_to_seed_2,49,izit,zipper,exact,tear-41,tear,0
A2BEIT9EBFVBRE,match_to_seed_2,45,glonglong,water,exact,water-45,water,1
A2BEIT9EBFVBRE,match_to_seed_2,35,gorecto,glass,exact,water-45,water,0
A2BEIT9EBFVBRE,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
A2BEIT9EBFVBRE,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A2BEIT9EBFVBRE,match_to_seed_2,34,dundundah,glass,category,glass-35,glass,1
A2UF2FRGVW4T89,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
A2UF2FRGVW4T89,match_to_seed_2,34,dahduhda,glass,category,water-45,water,0
A2UF2FRGVW4T89,match_to_seed_2,42,Chicochicochicochico,water,category,glass-35,glass,0
A2UF2FRGVW4T89,match_to_seed_2,49,izit,zipper,exact,glass-35,glass,0
A2UF2FRGVW4T89,match_to_seed_2,35,Goracto,glass,exact,tear-41,tear,0
A2UF2FRGVW4T89,match_to_seed_2,41,sheyah,tear,exact,tear-41,tear,1
A2UF2FRGVW4T89,match_to_seed_2,45,glonglong,water,exact,water-45,water,1
A2UF2FRGVW4T89,match_to_seed_2,39,a chechyu,tear,category,zipper-49,zipper,0
A320ID8MMZLOXH,match_to_seed_2,42,chewscutcutsew,water,category,tear-41,tear,0
A320ID8MMZLOXH,match_to_seed_2,49,izzit,zipper,exact,zipper-49,zipper,1
A320ID8MMZLOXH,match_to_seed_2,34,dundunda,glass,category,glass-35,glass,1
A320ID8MMZLOXH,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A320ID8MMZLOXH,match_to_seed_2,35,gorecto,glass,exact,zipper-49,zipper,0
A320ID8MMZLOXH,match_to_seed_2,45,galonggalong,water,exact,water-45,water,1
A320ID8MMZLOXH,match_to_seed_2,47,veep,zipper,category,zipper-49,zipper,1
A320ID8MMZLOXH,match_to_seed_2,39,a chechyu,tear,category,tear-41,tear,1
A3CVX7GHF3B65Q,match_to_seed_2,47,veep,zipper,category,zipper-49,zipper,1
A3CVX7GHF3B65Q,match_to_seed_2,49,iszit,zipper,exact,glass-35,glass,0
A3CVX7GHF3B65Q,match_to_seed_2,45,galonggalong,water,exact,water-45,water,1
A3CVX7GHF3B65Q,match_to_seed_2,42,chewchewshewa,water,category,tear-41,tear,0
A3CVX7GHF3B65Q,match_to_seed_2,34,dundundah,glass,category,water-45,water,0
A3CVX7GHF3B65Q,match_to_seed_2,35,goracto,glass,exact,glass-35,glass,1
A3CVX7GHF3B65Q,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A3CVX7GHF3B65Q,match_to_seed_2,39,a-chitch-shu,tear,category,tear-41,tear,1
A3FUW3458K3KO,match_to_seed_2,39,a chechyu,tear,category,zipper-49,zipper,0
A3FUW3458K3KO,match_to_seed_2,34,dundunduh,glass,category,glass-35,glass,1
A3FUW3458K3KO,match_to_seed_2,42,chewchewshewa,water,category,tear-41,tear,0
A3FUW3458K3KO,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
A3FUW3458K3KO,match_to_seed_2,41,cheea,tear,exact,tear-41,tear,1
A3FUW3458K3KO,match_to_seed_2,49,izzit,zipper,exact,water-45,water,0
A3FUW3458K3KO,match_to_seed_2,35,gorecto,glass,exact,zipper-49,zipper,0
A3FUW3458K3KO,match_to_seed_2,45,galonggalong,water,exact,glass-35,glass,0
A3KOVCQYR8K3HY,match_to_seed_2,49,izit,zipper,exact,zipper-49,zipper,1
A3KOVCQYR8K3HY,match_to_seed_2,41,sheyah,tear,exact,zipper-49,zipper,0
A3KOVCQYR8K3HY,match_to_seed_2,42,Chicochicochicochico,water,category,glass-35,glass,0
A3KOVCQYR8K3HY,match_to_seed_2,34,dahduhda,glass,category,glass-35,glass,1
A3KOVCQYR8K3HY,match_to_seed_2,45,galonggalong,water,exact,water-45,water,1
A3KOVCQYR8K3HY,match_to_seed_2,35,Goracto,glass,exact,tear-41,tear,0
A3KOVCQYR8K3HY,match_to_seed_2,39,a chechyu,tear,category,tear-41,tear,1
A3KOVCQYR8K3HY,match_to_seed_2,47,veep,zipper,category,tear-41,tear,0
A3QW4L1GMGZVQ0,match_to_seed_1,42,Chicochicochicochico,water,exact,water-42,water,1
A3QW4L1GMGZVQ0,match_to_seed_1,45,glonglong,water,category,glass-34,glass,0
A3QW4L1GMGZVQ0,match_to_seed_1,47,veeb,zipper,exact,tear-39,tear,0
A3QW4L1GMGZVQ0,match_to_seed_1,35,gorecto,glass,category,water-42,water,0
A3QW4L1GMGZVQ0,match_to_seed_1,34,dundunduh,glass,exact,tear-39,tear,0
A3QW4L1GMGZVQ0,match_to_seed_1,41,shiyah,tear,category,tear-39,tear,1
A3QW4L1GMGZVQ0,match_to_seed_1,39,a chechyu,tear,exact,glass-34,glass,0
A3QW4L1GMGZVQ0,match_to_seed_1,49,izit,zipper,category,zipper-47,zipper,1
A3U0A3LP7Q38JC,match_to_seed_1,47,veeb,zipper,exact,tear-39,tear,0
A3U0A3LP7Q38JC,match_to_seed_1,42,chewscutcutsew,water,exact,water-42,water,1
A3U0A3LP7Q38JC,match_to_seed_1,49,iszit,zipper,category,zipper-47,zipper,1
A3U0A3LP7Q38JC,match_to_seed_1,34,dundunduh,glass,exact,glass-34,glass,1
A3U0A3LP7Q38JC,match_to_seed_1,45,galonggalong,water,category,glass-34,glass,0
A3U0A3LP7Q38JC,match_to_seed_1,35,Goracto,glass,category,zipper-47,zipper,0
A3U0A3LP7Q38JC,match_to_seed_1,41,sheah,tear,category,tear-39,tear,1
A3U0A3LP7Q38JC,match_to_seed_1,39,a-chitch-shu,tear,exact,glass-34,glass,0
AD368A1RHHRC3,match_to_seed_2,47,veeb,zipper,category,glass-35,glass,0
AD368A1RHHRC3,match_to_seed_2,49,iszit,zipper,exact,zipper-49,zipper,1
AD368A1RHHRC3,match_to_seed_2,41,cheea,tear,exact,zipper-49,zipper,0
AD368A1RHHRC3,match_to_seed_2,35,gorecto,glass,exact,tear-41,tear,0
AD368A1RHHRC3,match_to_seed_2,45,glongglong,water,exact,water-45,water,1
AD368A1RHHRC3,match_to_seed_2,42,chewscutcutsew,water,category,zipper-49,zipper,0
AD368A1RHHRC3,match_to_seed_2,39,a chechyu,tear,category,tear-41,tear,1
AD368A1RHHRC3,match_to_seed_2,34,dahduhda,glass,category,tear-41,tear,0
AOVB3KCIIJLRJ,match_to_seed_1,49,iszit,zipper,category,tear-39,tear,0
AOVB3KCIIJLRJ,match_to_seed_1,47,veep,zipper,exact,glass-34,glass,0
AOVB3KCIIJLRJ,match_to_seed_1,45,glonglong,water,category,glass-34,glass,0
AOVB3KCIIJLRJ,match_to_seed_1,34,dundunduh,glass,exact,glass-34,glass,1
AOVB3KCIIJLRJ,match_to_seed_1,42,chewscutcutsew,water,exact,tear-39,tear,0
AOVB3KCIIJLRJ,match_to_seed_1,39,a chechyu,tear,exact,zipper-47,zipper,0
AOVB3KCIIJLRJ,match_to_seed_1,35,gorecto,glass,category,tear-39,tear,0
AOVB3KCIIJLRJ,match_to_seed_1,41,sheyah,tear,category,zipper-47,zipper,0
ARYGQ46IMW8AU,match_to_seed_2,41,sheah,tear,exact,zipper-49,zipper,0
ARYGQ46IMW8AU,match_to_seed_2,49,izit,zipper,exact,zipper-49,zipper,1
ARYGQ46IMW8AU,match_to_seed_2,34,dundunda,glass,category,glass-35,glass,1
ARYGQ46IMW8AU,match_to_seed_2,42,chewchewshewa,water,category,tear-41,tear,0
ARYGQ46IMW8AU,match_to_seed_2,45,glongglong,water,exact,water-45,water,1
ARYGQ46IMW8AU,match_to_seed_2,39,a chechyu,tear,category,tear-41,tear,1
ARYGQ46IMW8AU,match_to_seed_2,47,veep,zipper,category,glass-35,glass,0
ARYGQ46IMW8AU,match_to_seed_2,35,Goracto,glass,exact,glass-35,glass,1
AVOF14300525D,match_to_seed_2,47,veeb,zipper,category,zipper-49,zipper,1
AVOF14300525D,match_to_seed_2,49,Izzzit,zipper,exact,zipper-49,zipper,1
AVOF14300525D,match_to_seed_2,41,shiyah,tear,exact,glass-35,glass,0
AVOF14300525D,match_to_seed_2,34,dundunduh,glass,category,zipper-49,zipper,0
AVOF14300525D,match_to_seed_2,35,gorecto,glass,exact,tear-41,tear,0
AVOF14300525D,match_to_seed_2,42,chewscutcutsew,water,category,glass-35,glass,0
AVOF14300525D,match_to_seed_2,39,a-chitch-shu,tear,category,glass-35,glass,0
AVOF14300525D,match_to_seed_2,45,galonggalong,water,exact,water-45,water,1
AYCHPTQRYDT7G,match_to_seed_1,41,shiyah,tear,category,water-42,water,0
AYCHPTQRYDT7G,match_to_seed_1,35,gorecto,glass,category,zipper-47,zipper,0
AYCHPTQRYDT7G,match_to_seed_1,45,galonggalong,water,category,zipper-47,zipper,0
AYCHPTQRYDT7G,match_to_seed_1,34,dahduhda,glass,exact,water-42,water,0
AYCHPTQRYDT7G,match_to_seed_1,49,iszit,zipper,category,glass-34,glass,0
AYCHPTQRYDT7G,match_to_seed_1,42,Chicochicochicochico,water,exact,glass-34,glass,0
AYCHPTQRYDT7G,match_to_seed_1,47,veep,zipper,exact,tear-39,tear,0
AYCHPTQRYDT7G,match_to_seed_1,39,a chechyu,tear,exact,zipper-47,zipper,0
