subj_id,date,experimenter,computer,block_ix,trial_ix,sound_id,word,sound_category,word_category,word_type,correct_response,response,rt,is_correct
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,1,38,cliq,tear,glass,sound_effect,0,1,5538.90050109,0
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,2,34,cliq,glass,glass,sound_effect,1,0,4300.35689706,0
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,3,34,brrip,glass,zipper,sound_effect,0,0,2329.52226978,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,4,49,brrip,zipper,zipper,sound_effect,1,1,1498.19598952,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,5,49,crish,zipper,tear,sound_effect,0,0,871.738232672,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,6,38,crish,tear,tear,sound_effect,1,1,1315.94225625,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,7,38,brrip,tear,zipper,sound_effect,0,0,1506.28554961,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,8,38,crish,tear,tear,sound_effect,1,1,629.048861098,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,9,45,crish,water,tear,sound_effect,0,0,1083.07155548,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,10,38,cliq,tear,glass,sound_effect,0,1,1734.4852197,0
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,11,45,guplunk,water,water,sound_effect,1,1,1437.70273542,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,12,34,cliq,glass,glass,sound_effect,1,1,1507.26373587,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,13,34,crish,glass,tear,sound_effect,0,0,680.288398638,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,14,34,cliq,glass,glass,sound_effect,1,1,769.949586131,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,15,49,guplunk,zipper,water,sound_effect,0,0,1445.22158056,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,16,34,cliq,glass,glass,sound_effect,1,1,495.758206584,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,17,49,brrip,zipper,zipper,sound_effect,1,0,2494.43496671,0
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,18,45,cliq,water,glass,sound_effect,0,0,1183.6861223,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,19,49,brrip,zipper,zipper,sound_effect,1,1,725.319846999,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,20,45,crish,water,tear,sound_effect,0,0,967.555334792,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,21,45,cliq,water,glass,sound_effect,0,0,1061.39654014,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,22,38,cliq,tear,glass,sound_effect,0,0,1124.11920028,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,23,45,cliq,water,glass,sound_effect,0,0,827.639838215,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,1,24,49,brrip,zipper,zipper,sound_effect,1,1,2167.84853488,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,25,40,guplunk,tear,water,sound_effect,0,0,1482.83437081,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,26,36,guplunk,glass,water,sound_effect,0,0,909.076388925,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,27,48,brrip,zipper,zipper,sound_effect,1,0,1384.87364585,0
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,28,43,brrip,water,zipper,sound_effect,0,0,760.275274981,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,29,36,cliq,glass,glass,sound_effect,1,1,620.415472891,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,30,43,guplunk,water,water,sound_effect,1,1,842.553334311,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,31,40,guplunk,tear,water,sound_effect,0,0,919.099275023,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,32,48,guplunk,zipper,water,sound_effect,0,0,794.69103599,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,33,40,crish,tear,tear,sound_effect,1,1,747.908711433,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,34,48,brrip,zipper,zipper,sound_effect,1,1,533.711889759,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,35,36,guplunk,glass,water,sound_effect,0,0,600.399148185,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,36,43,cliq,water,glass,sound_effect,0,0,567.261815537,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,37,36,crish,glass,tear,sound_effect,0,0,621.623801533,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,38,48,brrip,zipper,zipper,sound_effect,1,1,666.588672437,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,39,43,guplunk,water,water,sound_effect,1,0,1041.40230129,0
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,40,40,crish,tear,tear,sound_effect,1,1,2088.36419508,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,41,48,brrip,zipper,zipper,sound_effect,1,1,453.771746252,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,42,40,crish,tear,tear,sound_effect,1,1,1199.26988147,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,43,48,cliq,zipper,glass,sound_effect,0,0,537.911111955,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,44,40,guplunk,tear,water,sound_effect,0,0,752.417777665,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,45,36,cliq,glass,glass,sound_effect,1,1,556.830178015,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,46,43,brrip,water,zipper,sound_effect,0,0,631.920042448,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,47,43,guplunk,water,water,sound_effect,1,1,562.503080815,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,2,48,36,crish,glass,tear,sound_effect,0,0,1180.21189794,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,49,35,crish,glass,tear,sound_effect,0,0,752.41041556,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,50,42,guplunk,water,water,sound_effect,1,1,2271.32820152,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,51,46,brrip,zipper,zipper,sound_effect,1,1,526.727269869,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,52,42,guplunk,water,water,sound_effect,1,1,609.011411201,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,53,46,crish,zipper,tear,sound_effect,0,0,2149.84747861,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,54,46,crish,zipper,tear,sound_effect,0,0,1449.40031692,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,55,46,brrip,zipper,zipper,sound_effect,1,1,647.479794454,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,56,39,crish,tear,tear,sound_effect,1,1,743.70372761,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,57,35,cliq,glass,glass,sound_effect,1,1,547.147224192,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,58,46,crish,zipper,tear,sound_effect,0,0,634.079989512,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,59,35,brrip,glass,zipper,sound_effect,0,0,817.317350302,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,60,46,brrip,zipper,zipper,sound_effect,1,1,840.660979506,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,61,39,crish,tear,tear,sound_effect,1,1,505.09546604,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,62,42,brrip,water,zipper,sound_effect,0,0,814.645583741,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,63,35,guplunk,glass,water,sound_effect,0,0,2102.91919392,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,64,39,guplunk,tear,water,sound_effect,0,0,668.365475256,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,65,39,cliq,tear,glass,sound_effect,0,0,907.852695789,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,66,42,crish,water,tear,sound_effect,0,0,646.798328962,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,67,39,crish,tear,tear,sound_effect,1,1,444.356064778,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,68,42,guplunk,water,water,sound_effect,1,1,521.989340894,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,69,35,cliq,glass,glass,sound_effect,1,1,550.301041454,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,70,35,cliq,glass,glass,sound_effect,1,1,544.908535201,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,71,39,crish,tear,tear,sound_effect,1,1,1116.8455421,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,3,72,42,crish,water,tear,sound_effect,0,0,818.639309611,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,73,41,crish,tear,tear,sound_effect,1,1,504.012931138,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,74,41,cliq,tear,glass,sound_effect,0,0,712.519885506,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,75,37,cliq,glass,glass,sound_effect,1,1,773.5940977,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,76,47,brrip,zipper,zipper,sound_effect,1,1,463.304898702,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,77,44,cliq,water,glass,sound_effect,0,0,689.772897866,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,78,44,guplunk,water,water,sound_effect,1,1,485.496854875,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,79,47,brrip,zipper,zipper,sound_effect,1,1,530.584958848,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,80,37,brrip,glass,zipper,sound_effect,0,0,700.397868175,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,81,37,crish,glass,tear,sound_effect,0,0,605.005521327,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,82,47,cliq,zipper,glass,sound_effect,0,0,636.892915238,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,83,44,brrip,water,zipper,sound_effect,0,0,542.127618566,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,84,44,cliq,water,glass,sound_effect,0,0,450.759406667,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,85,41,crish,tear,tear,sound_effect,1,1,591.858265456,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,86,41,cliq,tear,glass,sound_effect,0,0,644.566361792,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,87,37,guplunk,glass,water,sound_effect,0,0,503.183265682,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,88,47,guplunk,zipper,water,sound_effect,0,0,595.470767934,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,89,37,crish,glass,tear,sound_effect,0,0,544.093913864,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,90,41,crish,tear,tear,sound_effect,1,1,689.833074808,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,91,41,brrip,tear,zipper,sound_effect,0,0,514.360386413,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,92,37,cliq,glass,glass,sound_effect,1,1,496.102619916,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,93,47,cliq,zipper,glass,sound_effect,0,0,823.340748437,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,94,44,cliq,water,glass,sound_effect,0,0,679.93694311,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,95,47,brrip,zipper,zipper,sound_effect,1,1,570.659539197,1
LSN101,2016_Nov_16_1152,,LL-ELAINE,4,96,44,crish,water,tear,sound_effect,0,0,713.445577305,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,1,40,taateh,tear,glass,first_gen_imitation,0,1,3614.47781185,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,2,34,taateh,glass,glass,first_gen_imitation,1,0,2311.4619609,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,3,40,phfffft,tear,tear,first_gen_imitation,1,1,2092.05994569,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,4,34,phfffft,glass,tear,first_gen_imitation,0,0,1848.86785597,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,5,40,phfffft,tear,tear,first_gen_imitation,1,0,3346.48417449,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,6,40,taateh,tear,glass,first_gen_imitation,0,1,5798.65019675,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,7,40,phfffft,tear,tear,first_gen_imitation,1,1,2650.31656483,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,8,48,zerp,zipper,zipper,first_gen_imitation,1,0,2738.93750645,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,9,40,phfffft,tear,tear,first_gen_imitation,1,0,1289.24286878,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,10,45,zerp,water,zipper,first_gen_imitation,0,1,1776.08957281,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,11,45,fshfshfsh,water,water,first_gen_imitation,1,1,1317.37651071,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,12,34,taateh,glass,glass,first_gen_imitation,1,1,1415.36252946,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,13,48,taateh,zipper,glass,first_gen_imitation,0,1,2151.26722027,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,14,48,taateh,zipper,glass,first_gen_imitation,0,0,1020.59977734,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,15,34,phfffft,glass,tear,first_gen_imitation,0,0,1610.30741083,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,16,48,taateh,zipper,glass,first_gen_imitation,0,1,2047.57374758,0
LSN102,2016_Nov_21_1046,,LL-Kramer,1,17,48,phfffft,zipper,tear,first_gen_imitation,0,0,7215.98861786,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,18,48,zerp,zipper,zipper,first_gen_imitation,1,1,2613.41992719,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,19,45,fshfshfsh,water,water,first_gen_imitation,1,1,1105.20523926,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,20,34,fshfshfsh,glass,water,first_gen_imitation,0,0,1038.8994161,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,21,45,fshfshfsh,water,water,first_gen_imitation,1,1,702.693844214,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,22,34,phfffft,glass,tear,first_gen_imitation,0,0,2220.69228208,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,23,45,fshfshfsh,water,water,first_gen_imitation,1,1,605.542289559,1
LSN102,2016_Nov_21_1046,,LL-Kramer,1,24,45,phfffft,water,tear,first_gen_imitation,0,1,681.904255878,0
LSN102,2016_Nov_21_1046,,LL-Kramer,2,25,35,phfffft,glass,tear,first_gen_imitation,0,0,2467.19502192,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,26,47,zerp,zipper,zipper,first_gen_imitation,1,1,1526.23457182,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,27,47,phfffft,zipper,tear,first_gen_imitation,0,0,1997.47228064,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,28,35,taateh,glass,glass,first_gen_imitation,1,0,2765.78984456,0
LSN102,2016_Nov_21_1046,,LL-Kramer,2,29,44,zerp,water,zipper,first_gen_imitation,0,0,3856.75989743,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,30,47,phfffft,zipper,tear,first_gen_imitation,0,0,1214.89776438,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,31,44,fshfshfsh,water,water,first_gen_imitation,1,1,1181.59697345,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,32,41,fshfshfsh,tear,water,first_gen_imitation,0,0,1834.7290149,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,33,47,phfffft,zipper,tear,first_gen_imitation,0,0,938.759538345,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,34,35,zerp,glass,zipper,first_gen_imitation,0,0,1893.08774192,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,35,35,phfffft,glass,tear,first_gen_imitation,0,0,1738.557884,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,36,41,taateh,tear,glass,first_gen_imitation,0,0,1167.26352042,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,37,35,taateh,glass,glass,first_gen_imitation,1,1,942.69019505,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,38,41,phfffft,tear,tear,first_gen_imitation,1,0,1853.06162294,0
LSN102,2016_Nov_21_1046,,LL-Kramer,2,39,41,phfffft,tear,tear,first_gen_imitation,1,1,914.372823667,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,40,41,phfffft,tear,tear,first_gen_imitation,1,1,735.64190045,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,41,47,zerp,zipper,zipper,first_gen_imitation,1,1,906.176700257,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,42,47,fshfshfsh,zipper,water,first_gen_imitation,0,0,1449.28972935,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,43,44,fshfshfsh,water,water,first_gen_imitation,1,1,926.820969675,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,44,44,zerp,water,zipper,first_gen_imitation,0,1,323.777271435,0
LSN102,2016_Nov_21_1046,,LL-Kramer,2,45,41,zerp,tear,zipper,first_gen_imitation,0,1,1096.25019226,0
LSN102,2016_Nov_21_1046,,LL-Kramer,2,46,44,zerp,water,zipper,first_gen_imitation,0,0,1609.76134427,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,47,35,zerp,glass,zipper,first_gen_imitation,0,0,1194.36168438,1
LSN102,2016_Nov_21_1046,,LL-Kramer,2,48,44,zerp,water,zipper,first_gen_imitation,0,0,1085.07022727,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,49,46,phfffft,zipper,tear,first_gen_imitation,0,0,1488.25284233,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,50,43,fshfshfsh,water,water,first_gen_imitation,1,1,1064.63017222,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,51,38,fshfshfsh,tear,water,first_gen_imitation,0,0,1449.06822918,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,52,37,zerp,glass,zipper,first_gen_imitation,0,0,1075.71251178,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,53,38,zerp,tear,zipper,first_gen_imitation,0,0,1913.46281907,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,54,38,phfffft,tear,tear,first_gen_imitation,1,1,5475.40778993,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,55,43,fshfshfsh,water,water,first_gen_imitation,1,1,806.792225689,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,56,46,zerp,zipper,zipper,first_gen_imitation,1,1,816.847728565,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,57,38,phfffft,tear,tear,first_gen_imitation,1,1,992.856319528,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,58,37,taateh,glass,glass,first_gen_imitation,1,1,949.540996924,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,59,46,zerp,zipper,zipper,first_gen_imitation,1,1,2489.39715,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,60,43,fshfshfsh,water,water,first_gen_imitation,1,1,917.013532948,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,61,46,fshfshfsh,zipper,water,first_gen_imitation,0,0,973.372362554,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,62,38,phfffft,tear,tear,first_gen_imitation,1,1,699.720884673,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,63,43,fshfshfsh,water,water,first_gen_imitation,1,1,790.413103066,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,64,43,zerp,water,zipper,first_gen_imitation,0,0,1248.69660987,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,65,46,taateh,zipper,glass,first_gen_imitation,0,0,1048.51992242,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,66,37,zerp,glass,zipper,first_gen_imitation,0,0,914.623770863,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,67,46,taateh,zipper,glass,first_gen_imitation,0,0,1472.36057092,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,68,38,phfffft,tear,tear,first_gen_imitation,1,1,1843.59315783,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,69,37,phfffft,glass,tear,first_gen_imitation,0,0,1024.68855632,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,70,37,taateh,glass,glass,first_gen_imitation,1,1,2904.84930342,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,71,43,zerp,water,zipper,first_gen_imitation,0,0,1022.41210453,1
LSN102,2016_Nov_21_1046,,LL-Kramer,3,72,37,taateh,glass,glass,first_gen_imitation,1,1,2015.39485808,1
