ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,workerId,survey,assignmentId,instructions,odd_one_out (1),odd_one_out (2),odd_one_out (3),odd_one_out (4),odd_one_out (5),odd_one_out (6),odd_one_out (7),odd_one_out (8),describe (1),describe (2),describe (3),describe (4),describe (5),describe (6),describe (7),describe (8),problems (1),problems (2),problems (3),problems (4),problems (5),problems (6),problems (7),problems (8),odd_one_out_catch,describe_catch,problems_catch,Unnamed: 40,failed_catch_trial
Default Response Set,Anonymous,,,107.15.157.110,0,2016-02-29 10:45:42,2016-02-29 10:49:36,1,A1NKBXOTZAI1YK,,,1,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,coin rattle,popping sounds,glasses clanking,honk,phone ring,tearing,splashing,zipping,,,,,,,,,6.0,banging on a pot,,,True
Default Response Set,Anonymous,,,107.214.204.47,0,2016-02-29 10:51:46,2016-02-29 10:57:45,1,A2HSFJ1STZZGM5,,,1,1.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,something being dropped,bloops,something dropped in a glass,car horns,cell phone rings,paper being ripped,something dropped in water,zipper,,,,,,,,,6.0,something hitting metal,,,True
Default Response Set,Anonymous,,,99.122.60.15,0,2016-02-29 12:24:52,2016-02-29 12:29:32,1,A1ZOFPPZVYQ0Z8,,,1,2.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0,coin dropping,pop,ice in a glass,horn,phone ringing,ripping paper,water splashing,zipper,,,,,,,,,6.0,plunk,,,True
Default Response Set,Anonymous,,,24.55.109.96,0,2016-02-29 13:11:10,2016-02-29 13:15:38,1,A1L8EDNM7HZZAX,,,1,2.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,Coin dropped closer to the floor,Opening Cork,Trinket,Distant horns,Analog Phone,n/a,n/a,n/a,,,,,,1.0,1.0,1.0,6.0,n/a,1.0,,True
Default Response Set,Anonymous,,,23.252.185.196,0,2016-02-29 13:10:09,2016-02-29 13:17:51,1,A25SL6XK7FJ0OD,,,1,2.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,coin being dropped,thumpop,glass jar with marble inside,car horn,phone ringing,paper tearing,water splashing,cat hiss,,,,,,,,1.0,6.0,tinging noise,,,True
Default Response Set,Anonymous,,,107.10.210.189,0,2016-02-29 15:27:00,2016-02-29 15:29:28,1,A142ZRU284W9O,,,1,2.0,3.0,1.0,1.0,3.0,1.0,4.0,1.0,Coin dropping.,Bloops,Metal clinks,Car horns,Phone ringtones,Opening packages,Water,Zippers,,,,,,,,,6.0,Percussion,,,True
Default Response Set,Anonymous,,,68.43.172.179,0,2016-02-29 15:25:32,2016-02-29 15:31:26,1,A10MH2GE01BXXE,,,1,2.0,4.0,1.0,4.0,3.0,1.0,3.0,3.0,Change dropping,Taps,Porcelain clanging,car horns (not jeeps),Phone ringing,Riping off tape,water sloshing,Zippers zipping,1.0,1.0,,,,,,,6.0,Hitting a tin can,,,True
Default Response Set,Anonymous,,,73.23.216.26,0,2016-02-29 15:28:38,2016-02-29 15:34:23,1,AK8NUCU4Z1MD8,,,1,2.0,1.0,4.0,3.0,2.0,1.0,1.0,2.0,Dropping coins,Bottle popping,Glass clinging,Car horns,Phone ringing,Tape ripping,Water,zipping,,,,,,,,,6.0,clinging,,,True
Default Response Set,Anonymous,,,72.185.23.235,0,2016-02-29 15:26:01,2016-02-29 15:35:15,1,A1R0689JPSQ3OF,,,1,2.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,coin hitting table,uncorking wine bottle,coin in glass bottle,car horn,phone ringer,ripping paper,water splashing,zipper,,,,,,,,,6.0,hitting metal,,,True
Default Response Set,Anonymous,,,72.177.214.170,0,2016-02-29 10:57:41,2016-02-29 10:58:48,0,A35STI4M49LR60,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,207.118.60.229,0,2016-02-29 12:09:41,2016-02-29 12:10:10,0,A2P18KT7WGSZA4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,72.241.151.128,0,2016-02-29 12:13:06,2016-02-29 12:14:18,0,AR9ZC60MDS2Q,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,108.73.39.136,0,2016-02-29 12:14:59,2016-02-29 12:15:49,0,A2WLGVXAVT2XTR,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,173.49.135.69,0,2016-02-29 12:15:21,2016-02-29 12:15:59,0,A15SPRQ2HRRZMQ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,199.116.116.201,0,2016-02-29 12:13:43,2016-02-29 12:18:40,0,ABUABR22YMOGG,,,1,,,2.0,,2.0,,,,,,The sounds i heard are like bottles clicking,,Well the sounds that i have heard are sounds of phones ringing in different tones.,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,65.132.29.210,0,2016-02-29 13:06:34,2016-02-29 13:08:10,0,A21EPR8KW0GWX2,,,1,,3.0,,,,,,,,n/a,,,,,,,,1.0,,,,,,,,,,,True
Default Response Set,Anonymous,,,108.217.72.81,0,2016-02-29 15:23:36,2016-02-29 15:24:52,0,A3ULZGQA5AQMTD,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,71.13.215.194,0,2016-02-29 15:25:53,2016-02-29 15:26:42,0,A31NM1MBTECA53,,,1,2.0,,,,,3.0,,,Coin bounching,,,,,peeling tape,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,174.78.204.12,0,2016-02-29 16:10:30,2016-02-29 16:15:27,0,A2OS0VCSQLU3HE,,,1,,,,,1.0,,,,,,,,phone rings,,,,,,,,,,,,,,,,True
Default Response Set,Anonymous,,,144.120.176.113,0,2016-02-29 16:22:34,2016-02-29 16:24:03,0,A1OJQV5QT7FFAW,,,1,1.0,,,,,,,,COIN,,,,,,,,,,,,,,,,,,,,True
