question_id,choices,given,survey_id,answer,seed_id,chain_name,question_type
1,"[34, 35, 36, 37]",56,1,35,35,glass,true_seed
123,"[35, 39, 43, 47]",56,7,35,35,glass,true_seed
2,"[34, 35, 36, 37]",61,1,35,35,glass,true_seed
125,"[35, 39, 43, 47]",61,7,35,35,glass,true_seed
3,"[34, 35, 36, 37]",63,1,37,37,glass,true_seed
87,"[37, 41, 45, 49]",63,5,37,37,glass,true_seed
4,"[34, 35, 36, 37]",111,1,36,36,glass,true_seed
104,"[36, 40, 44, 48]",111,6,36,36,glass,true_seed
5,"[34, 35, 36, 37]",116,1,34,34,glass,true_seed
149,"[34, 38, 42, 46]",116,8,34,34,glass,true_seed
6,"[34, 35, 36, 37]",101,1,34,34,glass,true_seed
151,"[34, 38, 42, 46]",101,8,34,34,glass,true_seed
7,"[34, 35, 36, 37]",72,1,36,36,glass,true_seed
106,"[36, 40, 44, 48]",72,6,36,36,glass,true_seed
8,"[34, 35, 36, 37]",87,1,35,35,glass,true_seed
128,"[35, 39, 43, 47]",87,7,35,35,glass,true_seed
9,"[34, 35, 36, 37]",172,1,35,35,glass,true_seed
131,"[35, 39, 43, 47]",172,7,35,35,glass,true_seed
10,"[34, 35, 36, 37]",159,1,34,34,glass,true_seed
157,"[34, 38, 42, 46]",159,8,34,34,glass,true_seed
11,"[34, 35, 36, 37]",143,1,35,35,glass,true_seed
132,"[35, 39, 43, 47]",143,7,35,35,glass,true_seed
12,"[34, 35, 36, 37]",136,1,34,34,glass,true_seed
159,"[34, 38, 42, 46]",136,8,34,34,glass,true_seed
13,"[34, 35, 36, 37]",210,1,37,37,glass,true_seed
96,"[37, 41, 45, 49]",210,5,37,37,glass,true_seed
14,"[34, 35, 36, 37]",215,1,37,37,glass,true_seed
97,"[37, 41, 45, 49]",215,5,37,37,glass,true_seed
15,"[34, 35, 36, 37]",245,1,37,37,glass,true_seed
98,"[37, 41, 45, 49]",245,5,37,37,glass,true_seed
16,"[34, 35, 36, 37]",277,1,36,36,glass,true_seed
118,"[36, 40, 44, 48]",277,6,36,36,glass,true_seed
17,"[34, 35, 36, 37]",34,1,34,34,glass,catch_trial
164,"[34, 38, 42, 46]",34,8,34,34,glass,catch_trial
168,"[34, 38, 42, 46]",34,9,34,34,glass,catch_trial
18,"[34, 35, 36, 37]",35,1,35,35,glass,catch_trial
143,"[35, 39, 43, 47]",35,7,35,35,glass,catch_trial
19,"[34, 35, 36, 37]",36,1,36,36,glass,catch_trial
122,"[36, 40, 44, 48]",36,6,36,36,glass,catch_trial
20,"[34, 35, 36, 37]",37,1,37,37,glass,catch_trial
103,"[37, 41, 45, 49]",37,5,37,37,glass,catch_trial
21,"[38, 39, 40, 41]",54,2,38,38,tear,true_seed
144,"[34, 38, 42, 46]",54,8,38,38,tear,true_seed
22,"[38, 39, 40, 41]",62,2,38,38,tear,true_seed
145,"[34, 38, 42, 46]",62,8,38,38,tear,true_seed
23,"[38, 39, 40, 41]",59,2,41,41,tear,true_seed
85,"[37, 41, 45, 49]",59,5,41,41,tear,true_seed
24,"[38, 39, 40, 41]",51,2,38,38,tear,true_seed
147,"[34, 38, 42, 46]",51,8,38,38,tear,true_seed
25,"[38, 39, 40, 41]",71,2,38,38,tear,true_seed
152,"[34, 38, 42, 46]",71,8,38,38,tear,true_seed
26,"[38, 39, 40, 41]",110,2,40,40,tear,true_seed
105,"[36, 40, 44, 48]",110,6,40,40,tear,true_seed
27,"[38, 39, 40, 41]",91,2,41,41,tear,true_seed
88,"[37, 41, 45, 49]",91,5,41,41,tear,true_seed
28,"[38, 39, 40, 41]",100,2,41,41,tear,true_seed
89,"[37, 41, 45, 49]",100,5,41,41,tear,true_seed
29,"[38, 39, 40, 41]",98,2,39,39,tear,true_seed
130,"[35, 39, 43, 47]",98,7,39,39,tear,true_seed
30,"[38, 39, 40, 41]",86,2,39,39,tear,true_seed
133,"[35, 39, 43, 47]",86,7,39,39,tear,true_seed
31,"[38, 39, 40, 41]",145,2,40,40,tear,true_seed
110,"[36, 40, 44, 48]",145,6,40,40,tear,true_seed
32,"[38, 39, 40, 41]",114,2,41,41,tear,true_seed
95,"[37, 41, 45, 49]",114,5,41,41,tear,true_seed
33,"[38, 39, 40, 41]",140,2,40,40,tear,true_seed
113,"[36, 40, 44, 48]",140,6,40,40,tear,true_seed
34,"[38, 39, 40, 41]",135,2,39,39,tear,true_seed
135,"[35, 39, 43, 47]",135,7,39,39,tear,true_seed
35,"[38, 39, 40, 41]",138,2,39,39,tear,true_seed
136,"[35, 39, 43, 47]",138,7,39,39,tear,true_seed
36,"[38, 39, 40, 41]",204,2,40,40,tear,true_seed
115,"[36, 40, 44, 48]",204,6,40,40,tear,true_seed
37,"[38, 39, 40, 41]",38,2,38,38,tear,catch_trial
162,"[34, 38, 42, 46]",38,8,38,38,tear,catch_trial
165,"[34, 38, 42, 46]",38,9,38,38,tear,catch_trial
38,"[38, 39, 40, 41]",39,2,39,39,tear,catch_trial
141,"[35, 39, 43, 47]",39,7,39,39,tear,catch_trial
39,"[38, 39, 40, 41]",40,2,40,40,tear,catch_trial
120,"[36, 40, 44, 48]",40,6,40,40,tear,catch_trial
40,"[38, 39, 40, 41]",41,2,41,41,tear,catch_trial
101,"[37, 41, 45, 49]",41,5,41,41,tear,catch_trial
41,"[42, 43, 44, 45]",64,3,45,45,water,true_seed
83,"[37, 41, 45, 49]",64,5,45,45,water,true_seed
42,"[42, 43, 44, 45]",58,3,42,42,water,true_seed
146,"[34, 38, 42, 46]",58,8,42,42,water,true_seed
43,"[42, 43, 44, 45]",50,3,43,43,water,true_seed
124,"[35, 39, 43, 47]",50,7,43,43,water,true_seed
44,"[42, 43, 44, 45]",52,3,45,45,water,true_seed
86,"[37, 41, 45, 49]",52,5,45,45,water,true_seed
45,"[42, 43, 44, 45]",115,3,42,42,water,true_seed
150,"[34, 38, 42, 46]",115,8,42,42,water,true_seed
46,"[42, 43, 44, 45]",112,3,42,42,water,true_seed
153,"[34, 38, 42, 46]",112,8,42,42,water,true_seed
47,"[42, 43, 44, 45]",88,3,43,43,water,true_seed
127,"[35, 39, 43, 47]",88,7,43,43,water,true_seed
48,"[42, 43, 44, 45]",73,3,42,42,water,true_seed
154,"[34, 38, 42, 46]",73,8,42,42,water,true_seed
49,"[42, 43, 44, 45]",95,3,45,45,water,true_seed
90,"[37, 41, 45, 49]",95,5,45,45,water,true_seed
50,"[42, 43, 44, 45]",92,3,44,44,water,true_seed
111,"[36, 40, 44, 48]",92,6,44,44,water,true_seed
51,"[42, 43, 44, 45]",153,3,44,44,water,true_seed
112,"[36, 40, 44, 48]",153,6,44,44,water,true_seed
52,"[42, 43, 44, 45]",137,3,42,42,water,true_seed
158,"[34, 38, 42, 46]",137,8,42,42,water,true_seed
53,"[42, 43, 44, 45]",214,3,44,44,water,true_seed
116,"[36, 40, 44, 48]",214,6,44,44,water,true_seed
54,"[42, 43, 44, 45]",224,3,43,43,water,true_seed
138,"[35, 39, 43, 47]",224,7,43,43,water,true_seed
55,"[42, 43, 44, 45]",220,3,44,44,water,true_seed
117,"[36, 40, 44, 48]",220,6,44,44,water,true_seed
56,"[42, 43, 44, 45]",240,3,45,45,water,true_seed
99,"[37, 41, 45, 49]",240,5,45,45,water,true_seed
57,"[42, 43, 44, 45]",209,3,43,43,water,true_seed
139,"[35, 39, 43, 47]",209,7,43,43,water,true_seed
58,"[42, 43, 44, 45]",42,3,42,42,water,catch_trial
161,"[34, 38, 42, 46]",42,8,42,42,water,catch_trial
166,"[34, 38, 42, 46]",42,9,42,42,water,catch_trial
59,"[42, 43, 44, 45]",43,3,43,43,water,catch_trial
140,"[35, 39, 43, 47]",43,7,43,43,water,catch_trial
60,"[42, 43, 44, 45]",44,3,44,44,water,catch_trial
119,"[36, 40, 44, 48]",44,6,44,44,water,catch_trial
61,"[42, 43, 44, 45]",45,3,45,45,water,catch_trial
100,"[37, 41, 45, 49]",45,5,45,45,water,catch_trial
62,"[46, 47, 48, 49]",65,4,49,49,zipper,true_seed
84,"[37, 41, 45, 49]",65,5,49,49,zipper,true_seed
63,"[46, 47, 48, 49]",60,4,46,46,zipper,true_seed
148,"[34, 38, 42, 46]",60,8,46,46,zipper,true_seed
64,"[46, 47, 48, 49]",53,4,47,47,zipper,true_seed
126,"[35, 39, 43, 47]",53,7,47,47,zipper,true_seed
65,"[46, 47, 48, 49]",89,4,46,46,zipper,true_seed
155,"[34, 38, 42, 46]",89,8,46,46,zipper,true_seed
66,"[46, 47, 48, 49]",90,4,46,46,zipper,true_seed
156,"[34, 38, 42, 46]",90,8,46,46,zipper,true_seed
67,"[46, 47, 48, 49]",117,4,47,47,zipper,true_seed
129,"[35, 39, 43, 47]",117,7,47,47,zipper,true_seed
68,"[46, 47, 48, 49]",70,4,48,48,zipper,true_seed
107,"[36, 40, 44, 48]",70,6,48,48,zipper,true_seed
69,"[46, 47, 48, 49]",103,4,48,48,zipper,true_seed
108,"[36, 40, 44, 48]",103,6,48,48,zipper,true_seed
70,"[46, 47, 48, 49]",105,4,48,48,zipper,true_seed
109,"[36, 40, 44, 48]",105,6,48,48,zipper,true_seed
71,"[46, 47, 48, 49]",94,4,49,49,zipper,true_seed
91,"[37, 41, 45, 49]",94,5,49,49,zipper,true_seed
72,"[46, 47, 48, 49]",97,4,49,49,zipper,true_seed
92,"[37, 41, 45, 49]",97,5,49,49,zipper,true_seed
73,"[46, 47, 48, 49]",118,4,49,49,zipper,true_seed
93,"[37, 41, 45, 49]",118,5,49,49,zipper,true_seed
74,"[46, 47, 48, 49]",132,4,49,49,zipper,true_seed
94,"[37, 41, 45, 49]",132,5,49,49,zipper,true_seed
75,"[46, 47, 48, 49]",139,4,47,47,zipper,true_seed
134,"[35, 39, 43, 47]",139,7,47,47,zipper,true_seed
76,"[46, 47, 48, 49]",113,4,47,47,zipper,true_seed
137,"[35, 39, 43, 47]",113,7,47,47,zipper,true_seed
77,"[46, 47, 48, 49]",141,4,48,48,zipper,true_seed
114,"[36, 40, 44, 48]",141,6,48,48,zipper,true_seed
78,"[46, 47, 48, 49]",55,4,46,46,zipper,true_seed
160,"[34, 38, 42, 46]",55,8,46,46,zipper,true_seed
79,"[46, 47, 48, 49]",46,4,46,46,zipper,catch_trial
163,"[34, 38, 42, 46]",46,8,46,46,zipper,catch_trial
167,"[34, 38, 42, 46]",46,9,46,46,zipper,catch_trial
80,"[46, 47, 48, 49]",47,4,47,47,zipper,catch_trial
142,"[35, 39, 43, 47]",47,7,47,47,zipper,catch_trial
81,"[46, 47, 48, 49]",48,4,48,48,zipper,catch_trial
121,"[36, 40, 44, 48]",48,6,48,48,zipper,catch_trial
82,"[46, 47, 48, 49]",49,4,49,49,zipper,catch_trial
102,"[37, 41, 45, 49]",49,5,49,49,zipper,catch_trial
